# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	0.3933
2,	1.2933
1,	2.1878
1,	3.0882
1,	3.9882
1,	4.8878
1,	5.7882
1,	6.6882
1,	7.5882
2,	8.4882
1,	9.3882
1,	10.2863
2,	11.1863
1,	12.0623
1,	12.9415
1,	13.8415
1,	14.7415
2,	16.4481
1,	17.3481
1,	18.1882
1,	19.0635
2,	19.9624
1,	20.8624
1,	21.7624
2,	22.6609
1,	23.5597
1,	24.4596
1,	25.2535
1,	26.1535
1,	27.0535
2,	27.9535
1,	28.7811
1,	29.6811
1,	30.5683
1,	31.4683
1,	32.3683
1,	33.2679
1,	34.1683
1,	35.0682
2,	35.9290
1,	36.8290
1,	37.7290
1,	38.6290
1,	39.5290
1,	40.4290
1,	41.3290
1,	42.2290
1,	43.1290
1,	44.0290
1,	44.9290
1,	45.8290
1,	46.7257
1,	47.6257
1,	48.5257
1,	49.4257
1,	50.3257
1,	51.2257
1,	52.1257
1,	53.0257
2,	53.9257
1,	54.8257
1,	55.7185
1,	56.6176
1,	57.5164
1,	58.4164
1,	59.3132
1,	60.2095
1,	60.9290
1,	61.6458
1,	62.3594
1,	63.1704
1,	63.9940
1,	64.8476
2,	65.7384
1,	66.6378
1,	67.5384
1,	68.3185
1,	69.1073
1,	69.8908
1,	70.7553
1,	71.6553
1,	72.5204
1,	73.4204
1,	74.3150
1,	75.2150
1,	76.1143
1,	77.0150
2,	77.9150
1,	78.8150
1,	79.7144
1,	80.6150
2,	81.5150
1,	82.3225
1,	83.2225
1,	84.1225
1,	85.0217
1,	85.9217
1,	86.8214
1,	87.7112
1,	88.6112
1,	89.5065
1,	90.4065
1,	91.3065
1,	92.2065
1,	93.0835
1,	93.9663
1,	94.8449
1,	95.7344
1,	96.6274
1,	97.5038
1,	98.4038
1,	99.3038
1,	100.2038
1,	101.0880
1,	101.9665
1,	102.8388
1,	103.7388
1,	104.6139
1,	105.5022
1,	106.3613
1,	107.2081
1,	108.1081
1,	108.9915
1,	109.8766
1,	110.7766
1,	111.6766
1,	112.5766
1,	113.4766
1,	114.3766
1,	115.2766
1,	116.1766
1,	117.0579
2,	117.9579
1,	118.8579
1,	119.7499
1,	120.6499
1,	121.5499
1,	122.4499
1,	123.3499
1,	124.2499
1,	125.1499
1,	126.0499
1,	126.9499
1,	127.8359
1,	128.7359
1,	129.6359
2,	130.4990
1,	131.3990
1,	132.2955
1,	133.1775
1,	134.0775
1,	134.9565
1,	135.8565
1,	136.7549
1,	137.6549
1,	138.5549
1,	139.4549
1,	140.3549
1,	141.2451
1,	142.1458
1,	143.0458
1,	143.9458
2,	144.8452
2,	145.7458
1,	146.6458
1,	147.5378
2,	148.4010
1,	149.2076
1,	150.0196
1,	150.9180
1,	151.7690
1,	153.3624
1,	154.2624
2,	155.1624
1,	156.0624
1,	156.9414
1,	158.2989
1,	159.0825
1,	159.9558
1,	160.8558
1,	161.7558
1,	162.6558
1,	163.5558
1,	164.4558
1,	165.3558
1,	166.2558
1,	167.0988
1,	167.7797
1,	168.6112
2,	169.4740
1,	170.3610
1,	171.2610
2,	172.1588
1,	173.0588
1,	173.9501
1,	174.8501
1,	175.6615
1,	176.5303
1,	177.4303
1,	178.2994
2,	179.1994
1,	180.0994
1,	180.9994
1,	181.8994
2,	182.7994
1,	183.6994
1,	184.5994
1,	185.4994
1,	186.3994
1,	187.2994
2,	188.1994
1,	189.0994
1,	189.9784
1,	190.8378
1,	191.7026
1,	192.5874
1,	194.0883
1,	194.8126
1,	195.6831
1,	196.5831
2,	197.2290
2,	198.6934
1,	199.5441
1,	200.3218
1,	201.1850
1,	202.0004
1,	203.4082
1,	204.2513
1,	205.0118
2,	205.8330
1,	206.6965
1,	208.0529
1,	208.9052
1,	209.8052
1,	211.4349
1,	212.3341
1,	213.2349
1,	214.1330
1,	215.0258
1,	215.9014
1,	216.7878
2,	217.6540
1,	218.5086
1,	219.4086
1,	220.3086
1,	221.2078
1,	222.1086
1,	222.9929
1,	223.8538
1,	224.7367
2,	225.6367
1,	226.5366
1,	227.4366
1,	228.3366
1,	229.2366
1,	230.1366
1,	231.0365
1,	231.9364
1,	232.8364
1,	233.7364
1,	234.6316
1,	235.5316
1,	236.3221
1,	237.1533
1,	237.9308
1,	238.7867
1,	239.6867
1,	240.5867
1,	241.4867
2,	242.3867
1,	243.2867
1,	244.1841
1,	245.0841
2,	245.9841
1,	246.8663
1,	247.6737
1,	248.5036
1,	249.4035
1,	250.2740
1,	251.1147
1,	251.8980
1,	253.4801
1,	255.2532
1,	256.1532
1,	257.0532
1,	257.9431
1,	258.8431
1,	259.7431
1,	260.6431
1,	261.5431
1,	262.4431
1,	263.3415
1,	264.2415
1,	265.1415
1,	266.0415
1,	266.9415
1,	267.8415
1,	268.7415
1,	269.6415
1,	270.5239
1,	271.4239
1,	272.3239
1,	273.2239
1,	274.1239
1,	275.0239
1,	275.9239
1,	276.8141
1,	277.7141
1,	278.5973
1,	279.3396
1,	280.2084
1,	281.1084
1,	282.0068
1,	282.9068
1,	283.8068
2,	284.7068
1,	285.6068
1,	286.5068
2,	287.4068
1,	288.3068
1,	289.2062
1,	290.1068
1,	290.9373
1,	291.7747
2,	292.5899
1,	293.4899
1,	294.1751
1,	295.0548
1,	295.9557
1,	296.8557
1,	297.7557
1,	298.6557
1,	299.5557
1,	300.3970
1,	301.1805
1,	302.0805
1,	302.9805
2,	303.8805
1,	304.7805
1,	305.5981
1,	306.4578
1,	307.2964
1,	308.1963
1,	309.0929
1,	309.9929
2,	310.8903
1,	311.7895
1,	312.6903
1,	313.5903
1,	314.4903
1,	315.3899
1,	316.2903
1,	317.1903
1,	318.0903
2,	318.9878
1,	319.8882
1,	320.7866
2,	321.6866
1,	322.5449
1,	324.2112
1,	325.0253
1,	325.8305
1,	326.7260
1,	327.6260
1,	328.4945
1,	329.3782
1,	330.1965
2,	331.0779
1,	331.9779
1,	332.8779
1,	333.7779
1,	334.6779
1,	335.5436
1,	336.4320
1,	337.2531
1,	338.1531
1,	339.0362
1,	339.9253
1,	341.6451
1,	342.4041
1,	343.0277
1,	343.8744
1,	344.7026
2,	345.6026
1,	346.5026
1,	347.3910
1,	348.1813
1,	348.9971
1,	349.8971
1,	350.7971
1,	351.6971
1,	352.5971
1,	353.4971
1,	354.3971
1,	355.2693
1,	356.1699
1,	357.0699
1,	357.9699
1,	358.8601
1,	359.7601
1,	360.6601
1,	361.5395
1,	362.4337
1,	363.2423
1,	364.1000
1,	364.9219
1,	365.8197
1,	366.7197
1,	367.6197
1,	368.5197
1,	369.3553
1,	370.2553
1,	371.1425
1,	372.0040
1,	372.8857
1,	373.7772
1,	375.5095
2,	376.3610
1,	377.2610
1,	378.1595
1,	378.9405
1,	379.7581
1,	380.6204
1,	381.4961
1,	382.3800
2,	383.2090
1,	384.1090
1,	384.9306
2,	385.8314
1,	386.7287
1,	387.6263
1,	388.4237
1,	389.3154
1,	390.9892
1,	391.8830
1,	392.7822
1,	393.6830
1,	394.5821
2,	395.4782
1,	396.3709
1,	397.2615
1,	398.1615
1,	399.0615
1,	399.9599
1,	400.8406
2,	401.7406
1,	402.6406
1,	403.5406
1,	404.4378
1,	405.3321
1,	406.2235
2,	407.1169
1,	407.9907
1,	408.8440
1,	409.6923
1,	410.5631
1,	411.4631
1,	413.1772
1,	414.0772
1,	414.9772
1,	415.8772
1,	416.7055
1,	417.5932
1,	418.4232
1,	419.2987
1,	420.1987
1,	421.0906
1,	421.9906
1,	422.8779
1,	423.7552
1,	424.6552
1,	425.5552
1,	426.4552
1,	427.3380
1,	428.2235
1,	429.6926
1,	430.5693
1,	431.3946
1,	432.2946
2,	433.9789
1,	434.8492
2,	435.7382
1,	436.6382
1,	437.5382
