# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	0.3123
1,	1.2123
1,	2.1123
1,	3.0123
1,	3.9123
1,	4.8123
1,	5.7123
1,	6.6123
1,	7.5123
2,	8.4123
1,	9.3114
1,	10.2123
1,	11.1123
1,	12.0123
1,	12.9123
1,	13.8123
1,	14.7123
1,	15.6123
1,	16.5123
1,	17.4123
1,	18.3123
1,	19.2123
1,	20.1123
1,	21.0121
1,	21.9121
1,	22.8121
1,	23.7121
2,	24.6121
1,	25.5121
2,	26.4121
1,	27.3121
1,	28.2121
1,	29.1121
1,	30.0121
1,	30.9121
2,	31.8121
1,	32.7121
1,	33.6121
1,	34.5121
1,	35.4121
1,	36.3121
1,	37.2121
1,	38.1121
2,	39.0121
1,	39.9116
1,	40.8112
1,	41.7121
1,	42.6121
1,	43.5121
2,	44.4121
2,	45.3121
1,	46.2121
1,	47.1121
1,	48.0121
1,	48.9121
1,	49.8121
1,	50.7121
1,	51.6121
1,	52.5121
1,	53.4121
1,	54.3121
1,	55.2121
1,	56.1121
1,	57.0121
1,	57.9121
1,	58.8121
1,	59.7121
2,	60.6121
1,	61.5117
1,	62.4121
1,	63.3121
1,	64.2121
1,	65.1121
1,	66.0121
1,	66.9121
1,	67.8121
1,	68.7121
1,	69.6121
1,	70.5116
2,	71.4121
1,	72.3121
2,	73.2121
1,	74.1121
1,	75.0121
1,	75.9121
1,	76.8121
1,	77.7121
1,	78.6121
1,	79.5115
2,	80.4121
2,	81.3121
1,	82.2121
1,	83.1121
1,	84.0121
1,	84.9121
1,	85.8121
1,	86.7121
1,	87.3046
1,	88.2040
1,	89.1046
2,	90.0046
1,	90.9046
1,	91.8046
1,	92.7046
1,	93.6046
1,	94.5046
1,	95.4046
1,	96.3046
1,	97.2046
1,	98.1039
2,	99.0046
2,	99.9046
1,	100.8046
1,	101.7046
1,	102.6046
1,	103.5046
1,	104.4046
1,	105.3046
1,	106.2046
2,	107.1046
1,	108.0046
1,	108.9046
1,	109.8046
1,	110.7046
1,	111.6046
1,	112.5046
1,	113.4046
2,	114.3046
1,	115.2046
1,	116.1046
1,	117.0046
1,	117.9046
1,	118.8046
1,	119.7046
1,	120.6046
1,	121.5046
1,	122.4046
1,	123.3046
1,	124.2046
1,	125.1046
1,	126.0046
1,	126.9038
1,	127.8046
1,	128.7046
1,	129.6046
1,	130.5041
1,	131.4046
1,	132.3046
1,	133.2046
1,	134.1046
1,	135.0046
1,	135.9046
1,	136.8046
1,	137.7046
2,	138.6046
1,	139.5046
1,	140.4046
1,	141.3046
1,	142.2046
1,	143.1046
2,	144.0046
1,	144.9046
1,	145.8046
1,	146.7046
1,	147.6046
1,	148.5046
1,	149.4046
1,	150.3042
1,	151.2046
1,	152.1046
2,	153.0046
2,	153.9037
1,	154.8046
1,	155.7046
1,	156.6046
1,	157.5046
1,	158.4046
1,	159.3046
1,	160.2046
1,	161.1046
1,	162.0046
1,	162.9046
2,	163.8046
2,	164.7046
1,	165.6046
1,	166.5046
1,	167.4046
1,	168.3046
1,	169.2046
1,	170.1046
1,	171.0046
1,	171.9046
1,	172.8046
1,	173.7046
1,	174.6046
1,	175.5046
1,	176.4045
2,	177.3045
1,	178.2045
1,	179.1045
1,	180.0045
1,	180.9045
1,	181.8045
1,	182.7044
1,	184.1340
1,	185.0340
1,	185.9340
1,	186.8340
1,	187.7340
1,	188.6340
1,	189.5340
1,	190.4340
2,	191.3340
1,	192.2340
1,	193.1340
1,	194.0340
1,	194.9340
1,	195.8340
1,	196.7340
2,	197.6333
1,	198.5340
1,	199.4340
1,	200.3340
1,	201.2340
2,	202.1334
1,	203.0340
1,	203.9340
1,	204.8340
1,	205.7340
1,	206.6340
1,	207.5340
1,	208.4340
1,	209.3340
1,	210.2340
1,	211.1340
1,	212.0340
1,	212.9340
1,	213.8340
1,	214.7340
2,	215.6340
1,	216.5340
1,	217.4340
1,	218.3340
2,	219.2340
1,	220.1340
1,	221.0340
1,	221.9340
1,	222.8340
1,	223.7340
1,	224.6340
1,	225.5340
1,	226.2548
1,	227.1548
1,	228.0548
1,	228.9548
1,	229.8548
1,	230.7548
1,	231.6548
1,	232.5548
2,	233.4548
1,	234.3548
1,	235.2543
1,	236.1548
1,	237.0548
1,	237.9548
1,	238.8548
1,	239.7548
1,	240.6548
1,	241.5548
1,	242.4548
1,	243.3548
1,	244.2548
2,	245.1548
1,	246.0548
1,	246.9548
1,	247.8548
1,	248.7548
1,	249.6548
1,	250.5548
2,	251.4548
1,	252.3548
1,	253.2548
1,	254.1548
1,	255.0548
1,	255.9548
1,	256.8548
1,	257.7548
1,	258.6548
1,	259.5548
1,	260.4548
1,	261.3548
1,	262.2548
1,	263.1548
1,	264.0548
1,	264.9548
1,	265.8548
1,	266.7548
1,	267.6543
1,	268.5548
1,	269.4548
2,	270.3548
1,	271.2548
1,	272.1548
1,	273.0548
1,	273.9548
1,	274.8548
1,	275.7548
1,	276.6548
1,	277.5548
1,	278.4548
1,	279.3548
1,	280.2548
2,	281.1548
1,	282.0548
1,	282.9548
1,	283.8548
1,	284.7548
1,	285.6548
1,	286.5548
1,	287.4548
1,	288.9613
2,	289.8613
1,	290.7613
1,	291.6613
1,	292.5613
1,	293.4613
1,	294.3613
1,	295.2613
1,	296.1613
1,	297.0613
