# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	0.4250
2,	1.3100
1,	2.2100
1,	3.1035
1,	3.9702
1,	4.8702
1,	5.7702
1,	6.6465
1,	7.5465
1,	8.4465
2,	9.0930
1,	9.9930
1,	10.8930
1,	11.7930
1,	12.6889
2,	13.5617
1,	14.4617
1,	15.2533
1,	16.1533
1,	17.0533
1,	17.9533
1,	18.8533
2,	19.7533
1,	20.4958
1,	21.3907
1,	22.2833
1,	23.1833
1,	24.0728
1,	24.9728
1,	25.8389
1,	26.6645
1,	27.5645
1,	28.4645
1,	28.9738
1,	29.8596
1,	30.7596
1,	31.6596
2,	32.5596
1,	33.4596
1,	34.3596
1,	35.2596
1,	36.1596
1,	37.0596
1,	37.9596
1,	38.8596
1,	39.7596
1,	40.6596
1,	41.5509
1,	42.3782
1,	43.2407
1,	44.1162
1,	45.0162
1,	45.8640
1,	47.6207
1,	48.5207
1,	49.3197
1,	49.9047
1,	50.5734
1,	52.0863
1,	52.9775
1,	53.8350
2,	54.7350
2,	55.6223
1,	56.5223
1,	57.4223
1,	58.3223
1,	59.2132
1,	60.1132
1,	61.0027
1,	61.9027
1,	62.8027
1,	63.7027
1,	64.6027
1,	65.5027
1,	66.4027
1,	67.3027
1,	68.2027
1,	69.1027
1,	70.0027
1,	70.8904
1,	71.7904
1,	72.6904
1,	73.5352
1,	74.4252
1,	75.3252
1,	76.1813
1,	77.0813
1,	77.9813
1,	78.8813
1,	79.7813
1,	80.6813
1,	81.5813
1,	82.4813
1,	83.3813
1,	84.2813
1,	85.1813
1,	86.0803
1,	86.9803
1,	87.8757
1,	89.5626
1,	90.4626
1,	91.3626
1,	92.2626
1,	93.1626
1,	94.0456
1,	95.7486
1,	96.5794
1,	97.3776
1,	98.1537
1,	99.0537
1,	99.9352
1,	100.8352
1,	101.7352
1,	102.6352
1,	103.5139
1,	104.8234
1,	105.7234
1,	106.6234
1,	107.5234
1,	108.4234
1,	109.3234
1,	110.2019
1,	111.1019
1,	112.0019
1,	112.9019
1,	113.8019
2,	114.6076
1,	115.4834
1,	116.3834
1,	117.2834
1,	118.1834
1,	119.8532
1,	120.7532
1,	121.6532
1,	122.5532
1,	123.4532
