Sat Apr 20 20:38:26 2019 : openStreams >> SharedMemory >>> opened
Sat Apr 20 20:38:26 2019 : SharedMemory >>> init
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:29 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:30 2019 : writeAudio >> enter
Sat Apr 20 20:38:31 2019 : writeAudio >> enter
Sat Apr 20 20:38:31 2019 : writeAudio >> enter
Sat Apr 20 20:38:31 2019 : writeAudio >> enter
Sat Apr 20 20:38:31 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:31 2019 : writeAudio >> enter
Sat Apr 20 20:38:31 2019 : writeAudio >> enter
Sat Apr 20 20:38:31 2019 : writeAudio >> enter
Sat Apr 20 20:38:31 2019 : writeAudio >> enter
Sat Apr 20 20:38:31 2019 : writeAudio >> enter
Sat Apr 20 20:38:32 2019 : writeAudio >> enter
Sat Apr 20 20:38:32 2019 : writeAudio >> enter
Sat Apr 20 20:38:32 2019 : writeAudio >> enter
Sat Apr 20 20:38:32 2019 : writeAudio >> enter
Sat Apr 20 20:38:32 2019 : writeAudio >> enter
Sat Apr 20 20:38:32 2019 : writeAudio >> enter
Sat Apr 20 20:38:32 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:32 2019 : writeAudio >> enter
Sat Apr 20 20:38:32 2019 : writeAudio >> enter
Sat Apr 20 20:38:33 2019 : writeAudio >> enter
Sat Apr 20 20:38:33 2019 : writeAudio >> enter
Sat Apr 20 20:38:33 2019 : writeAudio >> enter
Sat Apr 20 20:38:33 2019 : writeAudio >> enter
Sat Apr 20 20:38:33 2019 : writeAudio >> enter
Sat Apr 20 20:38:33 2019 : writeAudio >> enter
Sat Apr 20 20:38:33 2019 : writeAudio >> enter
Sat Apr 20 20:38:33 2019 : writeAudio >> enter
Sat Apr 20 20:38:34 2019 : writeAudio >> enter
Sat Apr 20 20:38:34 2019 : writeAudio >> enter
Sat Apr 20 20:38:34 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:34 2019 : writeAudio >> enter
Sat Apr 20 20:38:34 2019 : writeAudio >> enter
Sat Apr 20 20:38:34 2019 : writeAudio >> enter
Sat Apr 20 20:38:34 2019 : writeAudio >> enter
Sat Apr 20 20:38:34 2019 : writeAudio >> enter
Sat Apr 20 20:38:34 2019 : writeAudio >> enter
Sat Apr 20 20:38:35 2019 : writeAudio >> enter
Sat Apr 20 20:38:35 2019 : writeAudio >> enter
Sat Apr 20 20:38:35 2019 : writeAudio >> enter
Sat Apr 20 20:38:35 2019 : writeAudio >> enter
Sat Apr 20 20:38:35 2019 : writeAudio >> enter
Sat Apr 20 20:38:35 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:35 2019 : writeAudio >> enter
Sat Apr 20 20:38:35 2019 : writeAudio >> enter
Sat Apr 20 20:38:35 2019 : writeAudio >> enter
Sat Apr 20 20:38:36 2019 : writeAudio >> enter
Sat Apr 20 20:38:36 2019 : writeAudio >> enter
Sat Apr 20 20:38:36 2019 : writeAudio >> enter
Sat Apr 20 20:38:36 2019 : writeAudio >> enter
Sat Apr 20 20:38:36 2019 : writeAudio >> enter
Sat Apr 20 20:38:36 2019 : writeAudio >> enter
Sat Apr 20 20:38:36 2019 : writeAudio >> enter
Sat Apr 20 20:38:36 2019 : writeAudio >> enter
Sat Apr 20 20:38:37 2019 : writeAudio >> enter
Sat Apr 20 20:38:37 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:37 2019 : writeAudio >> enter
Sat Apr 20 20:38:37 2019 : writeAudio >> enter
Sat Apr 20 20:38:37 2019 : writeAudio >> enter
Sat Apr 20 20:38:37 2019 : writeAudio >> enter
Sat Apr 20 20:38:37 2019 : writeAudio >> enter
Sat Apr 20 20:38:37 2019 : writeAudio >> enter
Sat Apr 20 20:38:37 2019 : writeAudio >> enter
Sat Apr 20 20:38:38 2019 : writeAudio >> enter
Sat Apr 20 20:38:38 2019 : writeAudio >> enter
Sat Apr 20 20:38:38 2019 : writeAudio >> enter
