Sat Apr 20 20:39:53 2019 : openStreams >> WriterThread >>> opened
Sat Apr 20 20:39:55 2019 : init >>> done
Sat Apr 20 20:39:55 2019 : frameSize: 2764800
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:55 2019 : run >>> audio 
Sat Apr 20 20:39:55 2019 : run >>> writeAudio
Sat Apr 20 20:39:56 2019 : run >>> audio 
Sat Apr 20 20:39:56 2019 : run >>> writeAudio
Sat Apr 20 20:39:56 2019 : run >>> audio 
Sat Apr 20 20:39:56 2019 : run >>> writeAudio
Sat Apr 20 20:39:56 2019 : run >>> audio 
Sat Apr 20 20:39:56 2019 : run >>> writeAudio
Sat Apr 20 20:39:56 2019 : run >>> audio 
Sat Apr 20 20:39:56 2019 : run >>> writeAudio
Sat Apr 20 20:39:56 2019 : run >>> audio 
Sat Apr 20 20:39:56 2019 : run >>> writeAudio
Sat Apr 20 20:39:56 2019 : run >>> audio 
Sat Apr 20 20:39:56 2019 : run >>> writeAudio
Sat Apr 20 20:39:56 2019 : run >>> audio 
Sat Apr 20 20:39:56 2019 : run >>> writeAudio
Sat Apr 20 20:39:56 2019 : run >>> audio 
Sat Apr 20 20:39:56 2019 : run >>> writeAudio
Sat Apr 20 20:39:57 2019 : run >>> audio 
Sat Apr 20 20:39:57 2019 : run >>> writeAudio
Sat Apr 20 20:39:57 2019 : run >>> audio 
Sat Apr 20 20:39:57 2019 : run >>> writeAudio
Sat Apr 20 20:39:57 2019 : run >>> audio 
Sat Apr 20 20:39:57 2019 : run >>> writeAudio
Sat Apr 20 20:39:57 2019 : run >>> audio 
Sat Apr 20 20:39:57 2019 : run >>> writeAudio
Sat Apr 20 20:39:57 2019 : run >>> audio 
Sat Apr 20 20:39:57 2019 : run >>> writeAudio
Sat Apr 20 20:39:57 2019 : run >>> audio 
Sat Apr 20 20:39:57 2019 : run >>> writeAudio
Sat Apr 20 20:39:57 2019 : run >>> audio 
